index,year,iso_code,population,gdp,renewables_electricity,fossil_fuel_consumption,greenhouse_gas_emissions,energy_per_gdp
856,2002,BIH,4188006.0,28997438498.0,5.269999980926514,0.0,5.559999942779541,1.873759150505066
857,2003,BIH,4178523.0,29748999379.0,4.5,0.0,6.78000020980835,1.604106068611145
858,2004,BIH,4140990.0,31229543774.0,5.980000019073486,0.0,6.800000190734863,1.4990521669387815
859,2005,BIH,4096493.0,32159580501.0,6.0,0.0,6.639999866485596,1.3178997039794922
860,2006,BIH,4063269.0,33580206309.0,5.840000152587891,0.0,7.480000019073486,1.3096725940704346
861,2007,BIH,4013420.0,35158268243.0,3.990000009536743,0.0,7.769999980926514,1.2816014289855957
862,2008,BIH,3947545.0,36676627730.0,4.869999885559082,0.0,9.850000381469728,1.3726123571395874
863,2009,BIH,3879798.0,35937393954.0,6.239999771118164,0.0,9.300000190734863,1.668923258781433
864,2010,BIH,3811480.0,35774435069.0,8.029999732971191,0.0,8.989999771118164,1.7255959510803225
865,2011,BIH,3741799.0,35664062419.0,4.389999866485596,0.0,10.68000030517578,1.853426456451416
866,2012,BIH,3670109.0,35371051813.0,4.150000095367432,0.0,9.670000076293944,1.8275357484817505
867,2013,BIH,3610857.0,36202157063.0,7.239999771118164,0.0,10.09000015258789,1.667142391204834
868,2014,BIH,3564831.0,36619951250.0,5.940000057220459,0.0,11.130000114440918,1.6490706205368042
869,2015,BIH,3518541.0,38199900995.0,5.550000190734863,0.0,10.90999984741211,1.609555959701538
870,2016,BIH,3472997.0,39438504839.0,5.610000133514404,0.0,12.140000343322754,1.5978673696517944
871,2017,BIH,3428684.0,40717914490.0,3.819999933242798,0.0,12.4399995803833,1.6172906160354614
872,2018,BIH,3386999.0,42277004927.0,6.550000190734863,0.0,12.600000381469728,1.4808707237243652
873,2019,BIH,3345532.0,43497123759.0,6.389999866485596,0.0,11.100000381469728,1.3591293096542358
874,2020,BIH,3299352.0,42185625323.0,4.900000095367432,0.0,11.9399995803833,1.3481452465057373
875,2021,BIH,3244912.0,45303796505.0,7.179999828338623,0.0,11.34000015258789,1.4387708902359009
876,2022,BIH,3204802.0,47069138435.0,5.239999771118164,0.0,11.170000076293944,1.9244260787963867
877,2023,BIH,3185072.0,47069138435.0,7.400000095367432,0.0,9.899999618530272,1.9244260787963867
878,2024,BIH,3164256.0,47069138435.0,6.25,0.0,9.3100004196167,1.9244260787963867
879,2025,BIH,3140098.0,47069138435.0,6.289999961853027,0.0,8.239999771118164,1.9244260787963867
880,1990,BWA,1305699.0,6660711722.0,0.0,0.0,0.9700000286102296,1.3439091444015503
